student_id,gpa,math_grade,programming_grade,data_structures_grade,algorithms_grade,databases_grade,networks_grade,ai_grade,web_grade,interest,passed_courses,failed_courses,passed_count,failed_count,excellent_count,weak_count,math_passed,programming_passed,data_structures_passed,algorithms_passed,databases_passed,networks_passed,ai_passed,web_passed,math_failed,programming_failed,data_structures_failed,algorithms_failed,databases_failed,networks_failed,ai_failed,web_failed,recommended_track
STU0399,3.07,98,86,75,79,68,60,100,53,AI/ML,Mathematics|Programming|Data Structures|Algorithms|Databases|Networks|Artificial Intelligence,Web Development,7,1,3,3,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,AI/Machine Learning
STU0465,2.77,56,82,85,60,91,76,61,93,Web Development,Data Structures|Algorithms|Databases|Networks|Artificial Intelligence|Web Development,Mathematics|Programming,7,1,3,3,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,Web Development
STU0814,2.96,77,88,88,83,61,64,63,65,Undecided,Mathematics|Programming|Data Structures|Algorithms|Databases|Networks|Artificial Intelligence,None,8,0,2,4,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,AI/Machine Learning
STU0156,3.02,76,96,75,77,82,67,58,91,Web Development,Mathematics|Programming|Data Structures|Algorithms|Databases|Networks|Web Development,Artificial Intelligence,7,1,2,2,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,0,Web Development
STU0302,2.71,77,65,78,77,73,64,60,65,Networks,Mathematics|Programming|Algorithms|Databases|Networks|Artificial Intelligence|Web Development,None,8,0,0,4,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,Network Engineering
STU0813,3.08,78,83,77,80,95,39,85,58,Data Science,Mathematics|Programming|Data Structures|Algorithms|Databases|Artificial Intelligence,Networks|Web Development,6,2,2,2,1,1,1,1,1,0,1,0,0,0,0,0,0,1,0,1,Data Science
STU0724,3.1,87,95,87,80,53,65,86,64,Software Engineering,Mathematics|Programming|Data Structures|Algorithms|Networks|Artificial Intelligence|Web Development,Databases,7,1,4,3,1,1,1,1,0,1,1,1,0,0,0,0,1,0,0,0,AI/Machine Learning
STU0028,2.71,74,84,77,76,45,49,66,66,Software Engineering,Mathematics|Programming|Data Structures|Algorithms|Artificial Intelligence|Web Development,Databases|Networks,6,2,0,4,1,1,1,1,0,0,1,1,0,0,0,0,1,1,0,0,AI/Machine Learning
STU0021,3.0,64,87,67,75,77,57,95,65,Software Engineering,Mathematics|Programming|Data Structures|Algorithms|Databases|Artificial Intelligence|Web Development,Networks,7,1,2,4,1,1,1,1,1,0,1,1,0,0,0,0,0,1,0,0,Software Engineering
STU0714,2.77,62,53,84,70,81,61,55,94,AI/ML,Mathematics|Data Structures|Algorithms|Databases|Networks|Web Development,Programming|Artificial Intelligence,6,2,1,4,1,0,1,1,1,1,0,1,0,1,0,0,0,0,1,0,Web Development
STU0675,2.72,77,71,69,70,51,96,53,62,Networks,Mathematics|Programming|Data Structures|Algorithms|Networks|Web Development,Databases|Artificial Intelligence,6,2,1,4,1,1,1,1,0,1,0,1,0,0,0,0,1,0,1,0,Network Engineering
STU0421,2.96,76,52,83,66,79,55,61,92,Web Development,Mathematics|Data Structures|Algorithms|Databases|Artificial Intelligence|Web Development,Programming|Networks,6,2,1,4,1,0,1,1,1,0,1,1,0,1,0,0,0,1,0,0,Web Development
STU0005,3.18,82,88,78,91,61,64,99,65,AI/ML,Mathematics|Programming|Data Structures|Algorithms|Databases|Artificial Intelligence|Web Development,None,8,0,3,3,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,AI/Machine Learning
STU0574,3.1,78,85,78,82,74,69,59,78,Software Engineering,Mathematics|Programming|Data Structures|Algorithms|Databases|Networks|Web Development,Artificial Intelligence,7,1,1,2,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,0,Software Engineering
STU0134,2.96,76,72,65,69,71,83,61,66,Networks,Mathematics|Programming|Data Structures|Algorithms|Databases|Networks|Artificial Intelligence|Web Development,None,8,0,0,4,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,Network Engineering
STU0666,2.96,71,85,84,70,85,65,52,87,Web Development,Mathematics|Programming|Data Structures|Algorithms|Databases|Networks|Web Development,Artificial Intelligence,7,1,3,2,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,0,Web Development
STU0812,3.07,86,84,59,81,79,98,75,54,Data Science,Mathematics|Programming|Algorithms|Databases|Networks|Artificial Intelligence,Data Structures|Web Development,6,2,2,2,1,1,0,1,1,1,1,0,0,0,1,0,0,0,0,1,Data Science
STU0007,3.27,86,83,85,77,81,99,88,61,Data Science,Mathematics|Programming|Data Structures|Algorithms|Databases|Networks|Artificial Intelligence|Web Development,None,8,0,4,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,Data Science
STU0613,2.96,48,71,63,77,68,93,48,55,Networks,Programming|Data Structures|Algorithms|Databases|Networks,Mathematics|Artificial Intelligence|Web Development,5,3,1,5,0,1,1,1,1,1,0,0,1,0,0,0,0,0,1,1,Network Engineering
STU0731,3.12,76,82,100,82,84,67,61,76,Software Engineering,Mathematics|Programming|Data Structures|Algorithms|Databases|Networks|Artificial Intelligence|Web Development,None,8,0,1,2,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,Software Engineering
STU0205,2.82,81,65,69,68,72,86,56,63,Networks,Mathematics|Programming|Data Structures|Algorithms|Databases|Networks|Web Development,Artificial Intelligence,7,1,1,5,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,0,Network Engineering
STU0795,3.17,80,84,89,96,62,65,85,68,Networks,Mathematics|Programming|Data Structures|Algorithms|Databases|Networks|Artificial Intelligence|Web Development,None,8,0,3,3,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,Network Engineering
STU0410,2.7,78,71,67,77,64,64,54,65,Networks,Mathematics|Programming|Data Structures|Algorithms|Databases|Networks,Artificial Intelligence|Web Development,7,1,0,5,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,0,Network Engineering
STU0626,2.97,83,87,79,82,77,64,85,57,AI/ML,Mathematics|Programming|Data Structures|Algorithms|Databases|Artificial Intelligence,Networks|Web Development,7,1,2,2,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,AI/Machine Learning
STU0538,2.68,75,60,73,71,66,86,63,46,Networks,Mathematics|Programming|Data Structures|Algorithms|Databases|Networks,Artificial Intelligence|Web Development,7,1,1,4,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,Network Engineering
STU0477,3.12,93,78,82,75,95,62,77,50,Data Science,Mathematics|Programming|Data Structures|Algorithms|Databases|Networks|Artificial Intelligence,Web Development,7,1,2,2,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,Data Science
STU0316,2.73,83,75,60,69,62,87,56,51,Networks,Mathematics|Programming|Data Structures|Algorithms|Databases|Networks,Artificial Intelligence|Web Development,6,2,1,5,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,Network Engineering
STU0732,2.96,65,91,81,77,93,71,57,88,Web Development,Mathematics|Programming|Data Structures|Algorithms|Databases|Networks|Web Development,Artificial Intelligence,7,1,3,2,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,0,Web Development
STU0521,2.96,86,85,85,81,76,47,44,67,AI/ML,Mathematics|Programming|Data Structures|Algorithms|Databases|Web Development,Networks|Artificial Intelligence,6,2,3,3,1,1,1,1,1,0,0,1,0,0,0,0,0,1,1,0,Software Engineering
STU0599,2.96,70,92,83,68,83,64,37,81,Software Engineering,Mathematics|Programming|Data Structures|Algorithms|Databases|Networks|Web Development,Artificial Intelligence,7,1,1,3,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,0,Software Engineering
STU0009,3.11,81,82,70,91,64,57,96,65,AI/ML,Mathematics|Programming|Data Structures|Algorithms|Databases|Artificial Intelligence,Networks|Web Development,7,1,2,3,1,1,1,1,1,0,1,1,0,0,0,0,0,1,0,0,AI/Machine Learning
STU0671,3.12,79,94,80,77,89,68,63,61,Data Science,Mathematics|Programming|Data Structures|Algorithms|Databases|Networks|Artificial Intelligence|Web Development,None,8,0,2,3,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,Data Science
STU0684,2.96,82,77,93,89,67,70,95,61,AI/ML,Mathematics|Programming|Data Structures|Algorithms|Databases|Networks|Artificial Intelligence|Web Development,None,8,0,3,2,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,AI/Machine Learning
STU0692,3.05,65,86,75,60,82,97,51,65,Software Engineering,Mathematics|Programming|Data Structures|Algorithms|Databases|Networks|Web Development,Artificial Intelligence,7,1,2,4,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,0,Software Engineering
