student_id,gpa,math_grade,programming_grade,data_structures_grade,algorithms_grade,databases_grade,networks_grade,ai_grade,web_grade,interest,passed_courses,failed_courses,passed_count,failed_count,excellent_count,weak_count,math_passed,math_failed,programming_passed,programming_failed,data_structures_passed,data_structures_failed,algorithms_passed,algorithms_failed,databases_passed,databases_failed,networks_passed,networks_failed,ai_passed,ai_failed,web_passed,web_failed,recommended_track,extra_info
STU0399,3.07,  98  ,86,75,79,68,60,100,53,  ai/ml  ,Mathematics|Programming|Data Structures|Algorithms|Databases|Networks|Artificial Intelligence,Web Development,7,1,3,3,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,AI/Machine Learning,KuDKi
STU0465,2.77,56,200.0,85,60,91,76,61,93,Web Development,Data Structures|Algorithms|Databases|Networks|Artificial Intelligence|Web Development,Mathematics|Programming,6,2,3,4,0,1,0,1,1,0,1,0,1,1,1,0,1,0,1,0,Web Development,OHz
STU0814,9.99,77,88,88,83,61,64,110.0,,Undecided,Mathematics|Programming|Data Structures|Algorithms|Databases|Networks|Artificial Intelligence,Web Development,7,1,2,3,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,AI/Machine Learning,PdHE
STU0156,3.02,N/A,96,75,,82,67,58,91,Web Development,Mathematics|Programming|Data Structures|Algorithms|Databases|Networks|Web Development,Artificial Intelligence,7,1,2,3,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,Web Development,-71
STU0302,2.71,77,65,999.0,,73,,60,65,Networks,Mathematics|Programming|Algorithms|Databases|Networks|Artificial Intelligence|Web Development,Data Structures,7,1,1,4,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,Network Engineering,
STU0813,3.08,  78  ,83,77,80,95,39,85,58,Data Science,Mathematics|Programming|Data Structures|Algorithms|Databases|Artificial Intelligence,Networks|Web Development,6,2,2,2,1,0,1,0,1,0,0,0,1,0,0,1,1,0,0,1,Data Science,
STU0724,3.1,87,95,  87  ,80,53,65,86,  64  ,Software Engineering,Mathematics|Programming|Data Structures|Algorithms|Networks|Artificial Intelligence|Web Development,Databases,7,1,4,3,1,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,AI/Machine Learning,-25
28,2.71,74,84,77,76,45,49,66,66,  Software Engineering  ,Mathematics|Programming|Data Structures|Algorithms|Artificial Intelligence|Web Development,Databases|Networks,6,2,0,4,1,0,1,0,1,0,1,0,0,1,0,1,1,0,1,0,AI/Machine Learning,INFO_5727
STU0021,3.0,64,87,67,75,77,57,95,,Software Engineering,Mathematics|Programming|Data Structures|Algorithms|Databases|Artificial Intelligence|Web Development,Networks,7,1,2,4,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,Software Engineering,
STU0714,2.77,62,53,84,70,81,61,55,94,AI/ML,Mathematics|Data Structures|Algorithms|Databases|Networks|Web Development,Programming|Artificial Intelligence,6,2,1,4,1,0,0,1,1,0,1,0,1,0,1,0,0,1,1,0,Web Development,
